rule_id,severity,arm_sku_name,arm_region_name,meter_name,previous_value,current_value,delta_pct,details,detected_at
PRICE_DRIFT,HIGH,Standard_D2s_v3,westeurope,D2s v3,0.212000,0.250160,18.0,"D2s v3 (1 Hour) moved 0.212000 -> 0.250160 USD = +18.00%, above the 5.0% threshold. [SYNTHETIC - intentionally injected]",2026-08-12T01:44:56+00:00
PRICE_GAP,HIGH,Standard_D2s_v3,eastus,D2s v3,0.096,MISSING,,Meter 'D2s v3' was priced at 0.096 in run 20260812T014442-bb179e and is absent from this run.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Account Encrypted GRS,eastus,Account Encrypted Delete Operations,,0.0,,Consumption meter 'Account Encrypted Delete Operations' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Account Encrypted GZRS,eastus,Account Encrypted Delete Operations,,0.0,,Consumption meter 'Account Encrypted Delete Operations' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Account Encrypted LRS,eastus,Account Encrypted Delete Operations,,0.0,,Consumption meter 'Account Encrypted Delete Operations' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Account Encrypted RA-GRS,eastus,Account Encrypted Delete Operations,,0.0,,Consumption meter 'Account Encrypted Delete Operations' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Account Encrypted RA-GZRS,eastus,Account Encrypted Delete Operations,,0.0,,Consumption meter 'Account Encrypted Delete Operations' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Account Encrypted ZRS,eastus,Account Encrypted Delete Operations,,0.0,,Consumption meter 'Account Encrypted Delete Operations' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Archive GRS,eastus,Archive Data Write,,0.0,,Consumption meter 'Archive Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Archive GRS,eastus,Archive Data Write,,0.0,,Consumption meter 'Archive Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Archive LRS,eastus,Archive Data Write,,0.0,,Consumption meter 'Archive Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Archive LRS,eastus,Archive Data Write,,0.0,,Consumption meter 'Archive Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Archive LRS,eastus,Archive Data Write,,0.0,,Consumption meter 'Archive Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Archive RA-GRS,eastus,Archive Data Write,,0.0,,Consumption meter 'Archive Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Archive RA-GRS,eastus,Archive Data Write,,0.0,,Consumption meter 'Archive Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Cold,eastus,Cold RA-GZRS Data Write,,0.0,,Consumption meter 'Cold RA-GZRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Cold,eastus,Cold RA-GRS Data Write,,0.0,,Consumption meter 'Cold RA-GRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Cold,eastus,Cold GRS Data Write,,0.0,,Consumption meter 'Cold GRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Cold,eastus,Cold GRS Data Write,,0.0,,Consumption meter 'Cold GRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Cold,eastus,Cold RA-GRS Data Write,,0.0,,Consumption meter 'Cold RA-GRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Cold,eastus,Cold GZRS Data Write,,0.0,,Consumption meter 'Cold GZRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Cold,eastus,Cold GZRS Data Write,,0.0,,Consumption meter 'Cold GZRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Cold,eastus,Cold LRS Data Write,,0.0,,Consumption meter 'Cold LRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Cold,eastus,Cold RA-GRS Data Write,,0.0,,Consumption meter 'Cold RA-GRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Cold,eastus,Cold ZRS Data Write,,0.0,,Consumption meter 'Cold ZRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Cold,eastus,Cold RA-GZRS Data Write,,0.0,,Consumption meter 'Cold RA-GZRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Cold,eastus,Cold RA-GRS Data Write,,0.0,,Consumption meter 'Cold RA-GRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Cold,eastus,Cold GRS Data Write,,0.0,,Consumption meter 'Cold GRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Cold,eastus,Cold ZRS Data Write,,0.0,,Consumption meter 'Cold ZRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Cold,eastus,Cold RA-GZRS Data Write,,0.0,,Consumption meter 'Cold RA-GZRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Cold,eastus,Cold ZRS Data Write,,0.0,,Consumption meter 'Cold ZRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
NON_POSITIVE_PRICE,LOW,Cold,eastus,Cold GZRS Data Write,,0.0,,Consumption meter 'Cold GZRS Data Write' priced at 0.0 - zero price; confirm the operation is genuinely free.,2026-08-12T01:44:56+00:00
