service_name,arm_sku_name,arm_region_name,meter_name,unit_of_measure,currency_code,previous_price,current_price,delta_pct,is_synthetic,effective_start_date
Storage,AMLFS-Durable-Premium-125,eastus,Provisioned Capacity,1 GiB/Hour,USD,0.000198,0.000198,0.0,0,2023-07-01T00:00:00Z
Storage,AMLFS-Durable-Premium-250,eastus,Provisioned Capacity,1 GiB/Hour,USD,0.000287,0.000287,0.0,0,2023-07-01T00:00:00Z
Storage,AMLFS-Durable-Premium-40,eastus,Provisioned Capacity,1 GiB/Hour,USD,0.000114,0.000114,0.0,0,2023-07-01T00:00:00Z
Storage,AMLFS-Durable-Premium-500,eastus,Provisioned Capacity,1 GiB/Hour,USD,0.000466,0.000466,0.0,0,2023-07-01T00:00:00Z
Storage,Account Encrypted GRS,eastus,Account Encrypted Delete Operations,10K,USD,0.0,0.0,,0,2021-03-01T00:00:00Z
Storage,Account Encrypted GRS,eastus,Account Encrypted GRS Batch Write Operations,10K,USD,0.15,0.15,0.0,0,2021-03-01T00:00:00Z
Storage,Account Encrypted GRS,eastus,Account Encrypted GRS Write Operations,10K,USD,0.05,0.05,0.0,0,2021-03-01T00:00:00Z
Storage,Account Encrypted GRS,eastus,Account Encrypted List Operations,10K,USD,0.09,0.09,0.0,0,2021-03-01T00:00:00Z
Storage,Account Encrypted GRS,eastus,Account Encrypted Read Operations,10K,USD,0.005,0.005,0.0,0,2021-03-01T00:00:00Z
Storage,Account Encrypted GRS,eastus,Account Encrypted Scan Operations,10K,USD,0.09,0.09,0.0,0,2021-03-01T00:00:00Z
Storage,Account Encrypted GRS,eastus,GRS Data Stored,1 GB/Month,USD,0.09,0.09,0.0,0,2021-03-01T00:00:00Z
Storage,Account Encrypted GZRS,eastus,Account Encrypted Delete Operations,10K,USD,0.0,0.0,,0,2021-03-01T00:00:00Z
Storage,Account Encrypted GZRS,eastus,Account Encrypted GZRS Batch Write Operations,10K,USD,0.1725,0.1725,0.0,0,2021-03-01T00:00:00Z
Storage,Account Encrypted GZRS,eastus,Account Encrypted GZRS Data Stored,1 GB/Month,USD,0.1116,0.1116,0.0,0,2021-03-01T00:00:00Z
Storage,Account Encrypted GZRS,eastus,Account Encrypted GZRS Write Operations,10K,USD,0.0575,0.0575,0.0,0,2021-03-01T00:00:00Z
Storage,Account Encrypted GZRS,eastus,Account Encrypted List Operations,10K,USD,0.09,0.09,0.0,0,2021-03-01T00:00:00Z
Storage,Account Encrypted GZRS,eastus,Account Encrypted Read Operations,10K,USD,0.005,0.005,0.0,0,2021-03-01T00:00:00Z
Storage,Account Encrypted GZRS,eastus,Account Encrypted Scan Operations,10K,USD,0.09,0.09,0.0,0,2021-03-01T00:00:00Z
Storage,Account Encrypted LRS,eastus,Account Encrypted Batch Write Operations,10K,USD,0.075,0.075,0.0,0,2021-03-01T00:00:00Z
Storage,Account Encrypted LRS,eastus,Account Encrypted Delete Operations,10K,USD,0.0,0.0,,0,2021-03-01T00:00:00Z
Storage,Account Encrypted LRS,eastus,Account Encrypted List Operations,10K,USD,0.09,0.09,0.0,0,2021-03-01T00:00:00Z
Storage,Account Encrypted LRS,eastus,Account Encrypted Read Operations,10K,USD,0.005,0.005,0.0,0,2021-03-01T00:00:00Z
